year,bray_curtis_dissimilarity_balanced_mean,bray_curtis_dissimilarity_gradient_mean,bray_curtis_dissimilarity_total_mean,jaccard_dissimilarity_turnover_mean,jaccard_dissimilarity_nestedness_mean,jaccard_dissimilarity_total_mean
1984,0.513657959281233,0.192041407137483,0.705699366418717,0.557951417262378,0.0873210292574836,0.645272446519862
1985,0.487755908371563,0.202863502463363,0.690619410834926,0.516016242856621,0.0996633744018829,0.615679617258504
1986,0.499307524742432,0.217171089347545,0.716478614089977,0.537036882766869,0.0967357710074995,0.633772653774369
1987,0.475046622868094,0.214674737526666,0.689721360394761,0.526140260179783,0.0841112598137916,0.610251519993574
1988,0.524805408384864,0.205714373119985,0.73051978150485,0.569815142129885,0.0847344936402082,0.654549635770093
1989,0.511314182393052,0.20744543005665,0.718759612449702,0.537943152007043,0.082792858256,0.620736010263043
1990,0.549255391383435,0.194392388014588,0.743647779398023,0.570720132615634,0.0748674940720331,0.645587626687667
1991,0.526625546292813,0.19115059942406,0.717776145716873,0.573637141606158,0.0767645179443252,0.650401659550483
1992,0.532069336475618,0.215546429315456,0.747615765791074,0.542439098626617,0.0822561008232046,0.624695199449822
1993,0.488878417364456,0.204469411913722,0.693347829278178,0.522337953413469,0.0823169860953343,0.604654939508803
1994,0.520635228054187,0.202665842329646,0.723301070383833,0.512801848259068,0.0869126134812002,0.599714461740268
1995,0.547238702248128,0.217340829135034,0.764579531383162,0.536292063196804,0.0828096133083638,0.619101676505168
1996,0.509805731729264,0.201525934819258,0.711331666548522,0.5161594604187,0.0918928001353768,0.608052260554077
1997,0.545974682693128,0.181762283363193,0.727736966056321,0.51856368380986,0.0953270546947295,0.613890738504589
1998,0.492096804886544,0.187691261601709,0.679788066488254,0.503981277559698,0.097210859164502,0.6011921367242
1999,0.53168495652997,0.225368781440505,0.757053737970476,0.568553283673417,0.0768563746536825,0.6454096583271
2000,0.505177299219851,0.214805270682797,0.719982569902648,0.537789594418896,0.0873565180859993,0.625146112504895
2001,0.463289031318177,0.233304593811478,0.696593625129655,0.539596513630583,0.0821248549713065,0.621721368601889
2002,0.50539446535725,0.214338027748213,0.719732493105463,0.538402484245591,0.0848861733483108,0.623288657593902
2003,0.468682201259995,0.212627218236773,0.681309419496769,0.539091051687978,0.0829727981025439,0.622063849790522
2004,0.497230217795494,0.207977300294763,0.705207518090257,0.53846087473683,0.0814260338289684,0.619886908565798
2005,0.510315565034122,0.205776080127001,0.716091645161123,0.526954242260046,0.0857456701146774,0.612699912374723
2006,0.562207171312707,0.180763828776755,0.742971000089462,0.570236334859619,0.0701615068143084,0.640397841673927
2007,0.572745894342682,0.197572891532238,0.770318785874919,0.54823909600874,0.0882549289199896,0.63649402492873
2008,0.586470684390582,0.187446294391686,0.773916978782269,0.575874533815409,0.0743373950018387,0.650211928817248
2009,0.593567884462021,0.209755775642827,0.803323660104848,0.57617058306944,0.0796421697400135,0.655812752809453
2010,0.594972350864578,0.19481174027519,0.789784091139767,0.593627317889829,0.0717398335119693,0.665367151401798
2011,0.522719909760123,0.217114414897358,0.739834324657481,0.55289883877165,0.0803989284096414,0.633297767181292
2012,0.552030505736654,0.193271831328702,0.745302337065356,0.569950885276325,0.0813391191545794,0.651290004430904
2013,0.557769626272498,0.198307365800987,0.756076992073485,0.558785415660201,0.0819065950451998,0.6406920107054
2014,0.46041942327119,0.227184435057908,0.687603858329098,0.52865346398113,0.0899254951105269,0.618578959091657
2015,0.408342825662268,0.238654555959877,0.646997381622146,0.556223270901835,0.0745179627777971,0.630741233679632
2016,0.431623187039945,0.201505727116601,0.633128914156546,0.509822517980128,0.0867625658780649,0.596585083858193
2017,0.428431770689394,0.221937195694906,0.6503689663843,0.535561262902606,0.0868068763700514,0.622368139272657
2018,0.436520425486428,0.207323081753394,0.643843507239823,0.484381066656636,0.0910166668569727,0.575397733513608
2019,0.452473969749652,0.205620599543087,0.658094569292739,0.489141368645805,0.0871126181816235,0.576253986827429
